cprd_prodcode	description	description2	bnf_code
52088	Lisinopril 5mg tablets (Phoenix Healthcare Distribution Ltd)	Lisinopril	2050501
60309	Lisinopril 5mg tablets (Relonchem Ltd)	Lisinopril	2050501
46975	Lisinopril 5mg tablets (Sandoz Ltd)	Lisinopril	2050501
19204	Lisinopril 5mg tablets (Teva UK Ltd)	Lisinopril	2050501
59109	Lisinopril 5mg tablets (Tillomed Laboratories Ltd)	Lisinopril	2050501
60232	Lisinopril 5mg tablets (Zentiva)	Lisinopril	2050501
11987	Lisinopril 5mg/5ml oral solution	Lisinopril	2050501
37778	Lisinopril 5mg/5ml oral suspension	Lisinopril	2050501
54283	Lisinopril 5mg/5ml oral suspension (Special Order)	Lisinopril	2050501
20975	Lisinopril 7.5mg/5ml oral suspension	Lisinopril	2050501
54512	Lisinopril Oral solution	Lisinopril	2050501
41573	Lisopress 10mg tablets (Teva UK Ltd)	Lisinopril	2050501
41538	Lisopress 2.5mg tablets (Teva UK Ltd)	Lisinopril	2050501
41522	Lisopress 20mg tablets (Teva UK Ltd)	Lisinopril	2050501
41532	Lisopress 5mg tablets (Teva UK Ltd)	Lisinopril	2050501
57944	Perindopril tosilate 2.5mg tablets	0	2050501
6806	Zestril 10mg tablets (AstraZeneca UK Ltd)	Lisinopril	2050501
3720	Zestril 2.5mg tablets (AstraZeneca UK Ltd)	Lisinopril	2050501
57588	Zestril 2.5mg tablets (Mawdsley-Brooks & Company Ltd)	Lisinopril	2050501
8268	Zestril 20mg tablets (AstraZeneca UK Ltd)	Lisinopril	2050501
56510	Zestril 20mg tablets (Sigma Pharmaceuticals Plc)	Lisinopril	2050501
6807	Zestril 5mg tablets (AstraZeneca UK Ltd)	Lisinopril	2050501
56505	Zestril 5mg tablets (Lexon (UK) Ltd)	Lisinopril	2050501
39242	Carace 10 Plus tablets (Merck Sharp & Dohme Ltd)	Lisinopril/Hydrochlorothiazide	2050501
17655	Carace 10 Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)	Lisinopril/Hydrochlorothiazide	02020100/02050501
39147	Carace 20 Plus tablets (Merck Sharp & Dohme Ltd)	Lisinopril/Hydrochlorothiazide	02020100/02050501
9764	Carace 20 Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)	Lisinopril/Hydrochlorothiazide	02020100/02050501
21231	Caralpha 20mg/12.5mg tablets (Actavis UK Ltd)	Lisinopril/Hydrochlorothiazide	2050501
6786	Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets	Lisinopril/Hydrochlorothiazide	02020100/02050501
37710	Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets (Teva UK Ltd)	Lisinopril/Hydrochlorothiazide	02020100/02050501
6468	Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets	Lisinopril/Hydrochlorothiazide	02020100/02050501
55399	Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets (A A H Pharmaceuticals Ltd)	Lisinopril/Hydrochlorothiazide	02020100/02050501
54201	Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets (Almus Pharmaceuticals Ltd)	Lisinopril/Hydrochlorothiazide	02020100/02050501
33353	Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets (Teva UK Ltd)	Lisinopril/Hydrochlorothiazide	02020100/02050501
56244	Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets (Tillomed Laboratories Ltd)	Lisinopril/Hydrochlorothiazide	02020100/02050501
6359	Zestoretic 10- 10mg+12.5mg Tablet (AstraZeneca UK Ltd)	Lisinopril/Hydrochlorothiazide	02020100/02050501
39137	Zestoretic 10 tablets (AstraZeneca UK Ltd)	Lisinopril/Hydrochlorothiazide	02020100/02050501
57539	Zestoretic 10 tablets (Sigma Pharmaceuticals Plc)	Lisinopril/Hydrochlorothiazide	02020100/02050501
2982	Zestoretic 20- 20mg+12.5mg Tablet (AstraZeneca UK Ltd)	Lisinopril/Hydrochlorothiazide	02020100/02050501
38995	Zestoretic 20 tablets (AstraZeneca UK Ltd)	Lisinopril/Hydrochlorothiazide	02020100/02050501
14965	Cozaar 100mg tablets (Merck Sharp & Dohme Ltd)	Losartan potassium	2050502
52427	Cozaar 100mg tablets (Necessity Supplies Ltd)	Losartan potassium	2050502
40571	Cozaar 12.5mg tablets (Merck Sharp & Dohme Ltd)	Losartan potassium	2050502
41232	Cozaar 2.5mg/ml oral suspension (Merck Sharp & Dohme Ltd)	Losartan Potassium	2050502
4226	Cozaar 25mg tablets (Merck Sharp & Dohme Ltd)	Losartan potassium	2050502
5723	Cozaar 50mg tablets (Merck Sharp & Dohme Ltd)	Losartan potassium	2050502
60780	Generic Sevikar HCT 20mg/5mg/12.5mg tablets	0	2050502
624	Losartan 100mg tablets	Losartan potassium	2050502
49588	Losartan 100mg tablets (A A H Pharmaceuticals Ltd)	Losartan potassium	2050502
61288	Losartan 100mg tablets (Accord Healthcare Ltd)	Losartan potassium	2050502
54404	Losartan 100mg tablets (Actavis UK Ltd)	Losartan potassium	2050502
61053	Losartan 100mg tablets (Alliance Healthcare (Distribution) Ltd)	Losartan potassium	2050502
55446	Losartan 100mg tablets (Bristol Laboratories Ltd)	Losartan potassium	2050502
60506	Losartan 100mg tablets (Dexcel-Pharma Ltd)	Losartan potassium	2050502
57028	Losartan 100mg tablets (Mylan Ltd)	Losartan potassium	2050502
56970	Losartan 100mg tablets (Pfizer Ltd)	Losartan potassium	2050502
47006	Losartan 100mg tablets (Teva UK Ltd)	Losartan potassium	2050502
39944	Losartan 12.5mg tablets	Losartan potassium	2050502
52886	Losartan 12.5mg tablets (A A H Pharmaceuticals Ltd)	Losartan potassium	2050502
58967	Losartan 12.5mg tablets (Alliance Healthcare (Distribution) Ltd)	Losartan potassium	2050502
62388	Losartan 12.5mg tablets (DE Pharmaceuticals)	Losartan potassium	2050502
59340	Losartan 12.5mg tablets (Dexcel-Pharma Ltd)	Losartan potassium	2050502
66114	Losartan 12.5mg tablets (Mawdsley-Brooks & Company Ltd)	Losartan potassium	2050502
64888	Losartan 12.5mg tablets (Sigma Pharmaceuticals Plc)	Losartan potassium	2050502
40711	Losartan 2.5mg/ml oral suspension sugar free	Losartan Potassium	2050502
520	Losartan 25mg tablets	Losartan potassium	2050502
50971	Losartan 25mg tablets (A A H Pharmaceuticals Ltd)	Losartan potassium	2050502
58274	Losartan 25mg tablets (Accord Healthcare Ltd)	Losartan potassium	2050502
54740	Losartan 25mg tablets (Actavis UK Ltd)	Losartan potassium	2050502
61495	Losartan 25mg tablets (Aptil Pharma Ltd)	Losartan potassium	2050502
51186	Losartan 25mg tablets (Arrow Generics Ltd)	Losartan potassium	2050502
58649	Losartan 25mg tablets (Bristol Laboratories Ltd)	Losartan potassium	2050502
48398	Losartan 25mg tablets (Dexcel-Pharma Ltd)	Losartan potassium	2050502
49492	Losartan 25mg tablets (Mylan Ltd)	Losartan potassium	2050502
63222	Losartan 25mg tablets (Pfizer Ltd)	Losartan potassium	2050502
55718	Losartan 25mg tablets (Phoenix Healthcare Distribution Ltd)	Losartan potassium	2050502
59271	Losartan 25mg tablets (Sandoz Ltd)	Losartan potassium	2050502
63918	Losartan 25mg tablets (Teva UK Ltd)	Losartan potassium	2050502
59086	Losartan 25mg tablets (Wockhardt UK Ltd)	Losartan potassium	2050502
61754	Losartan 25mg/5ml oral suspension	Losartan potassium	2050502
1780	Losartan 50mg tablets	Losartan potassium	2050502
56104	Losartan 50mg tablets (A A H Pharmaceuticals Ltd)	Losartan potassium	2050502
54049	Losartan 50mg tablets (Accord Healthcare Ltd)	Losartan potassium	2050502
51601	Losartan 50mg tablets (Actavis UK Ltd)	Losartan potassium	2050502
54735	Losartan 50mg tablets (Alliance Healthcare (Distribution) Ltd)	Losartan potassium	2050502
59750	Losartan 50mg tablets (Aptil Pharma Ltd)	Losartan potassium	2050502
66551	Losartan 50mg tablets (Bristol Laboratories Ltd)	Losartan potassium	2050502
54843	Losartan 50mg tablets (Dexcel-Pharma Ltd)	Losartan potassium	2050502
55296	Losartan 50mg tablets (Mylan Ltd)	Losartan potassium	2050502
59351	Losartan 50mg tablets (Pfizer Ltd)	Losartan potassium	2050502
65094	Losartan 50mg tablets (Sandoz Ltd)	Losartan potassium	2050502
54057	Losartan 50mg tablets (Teva UK Ltd)	Losartan potassium	2050502
52659	Losartan 50mg/5ml oral solution	Losartan potassium	2050502
59903	Losartan 50mg/5ml oral suspension	0	2050502
37747	Cozaar-Comp 100mg/12.5mg tablets (Merck Sharp & Dohme Ltd)	Losartan potassium/Hydrochlorothiazide	2050504
21423	Cozaar-Comp 100mg/25mg tablets (Merck Sharp & Dohme Ltd)	Losartan potassium/Hydrochlorothiazide	2050504
57796	Cozaar-Comp 50mg/12.5mg tablets (DE Pharmaceuticals)	Losartan potassium/Hydrochlorothiazide	2050504
4540	Cozaar-Comp 50mg/12.5mg tablets (Merck Sharp & Dohme Ltd)	Losartan potassium/Hydrochlorothiazide	2050504
55160	Cozaar-Comp 50mg/12.5mg tablets (Sigma Pharmaceuticals Plc)	Losartan potassium/Hydrochlorothiazide	2050504
38367	Hydrochlorothiazide with losartan 12.5mg with 100mg Tablet	Losartan Potassium/Hydrochlorothiazide	02020100/02050502
14738	Hydrochlorothiazide with losartan 12.5mg with 50mg Tablet	Losartan Potassium/Hydrochlorothiazide	02020100/02050502
24632	Hydrochlorothiazide with losartan 25mg with 100mg Tablet	Losartan Potassium/Hydrochlorothiazide	02020100/02050502
48039	Losartan 100mg / Hydrochlorothiazide 12.5mg tablets (Teva UK Ltd)	Losartan potassium/Hydrochlorothiazide	2050504
10323	Losartan 100mg / Hydrochlorothiazide 25mg tablets	Losartan potassium/Hydrochlorothiazide	2050504
52189	Losartan 100mg / Hydrochlorothiazide 25mg tablets (A A H Pharmaceuticals Ltd)	Losartan potassium/Hydrochlorothiazide	2050504
6437	Losartan 50mg / Hydrochlorothiazide 12.5mg tablets	Losartan potassium/Hydrochlorothiazide	2050504
56975	Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (A A H Pharmaceuticals Ltd)	Losartan potassium/Hydrochlorothiazide	2050504
56204	Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (Actavis UK Ltd)	Losartan potassium/Hydrochlorothiazide	2050504
66598	Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (Lupin (Europe) Ltd)	Losartan potassium/Hydrochlorothiazide	2050504
62911	Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (Teva UK Ltd)	Losartan potassium/Hydrochlorothiazide	2050504
17120	Moexipril 15mg tablets	Moexipril hydrochloride	2050501
15121	Moexipril 7.5mg tablets	Moexipril hydrochloride	2050501
28725	Perdix 15mg tablets (UCB Pharma Ltd)	Moexipril hydrochloride	2050501
28724	Perdix 7.5mg tablets (UCB Pharma Ltd)	Moexipril hydrochloride	2050501
6217	Olmesartan medoxomil 10mg tablets	Olmesartan medoxomil	2050502
39786	Olmesartan medoxomil 10mg/5ml oral suspension	Olmesartan Medoxomil	2050502
6285	Olmesartan medoxomil 20mg tablets	Olmesartan medoxomil	2050502
6351	Olmesartan medoxomil 40mg tablets	Olmesartan medoxomil	2050502
14983	Olmetec 10mg tablets (Daiichi Sankyo UK Ltd)	Olmesartan medoxomil	2050502
18910	Olmetec 20mg tablets (Daiichi Sankyo UK Ltd)	Olmesartan medoxomil	2050502
20117	Olmetec 40mg tablets (Daiichi Sankyo UK Ltd)	Olmesartan medoxomil	2050502
27520	Olmetec Plus 20mg/25mg tablets (Daiichi Sankyo UK Ltd)	Olmesartan medoxomil/Hydrochlorothiazide	02020100/02050502
38026	Coversyl Arginine 10mg tablets (Servier Laboratories Ltd)	Perindopril Arginine	2050501
38034	Coversyl Arginine 2.5mg tablets (Servier Laboratories Ltd)	Perindopril arginine	2050501
51807	Coversyl Arginine 5mg tablets (DE Pharmaceuticals)	Perindopril arginine	2050501
37965	Coversyl Arginine 5mg tablets (Servier Laboratories Ltd)	Perindopril arginine	2050501
50347	Coversyl Arginine 5mg tablets (Waymade Healthcare Plc)	Perindopril arginine	2050501
37971	Perindopril arginine 10mg tablets	Perindopril Arginine	2050501
37964	Perindopril arginine 2.5mg tablets	Perindopril Arginine	2050501
37930	Perindopril arginine 5mg tablets	Perindopril arginine	2050501
51258	Coversyl Arginine Plus 5mg/1.25mg tablets (DE Pharmaceuticals)	Indapamide/Perindopril arginine	02020100/02050501
37908	Coversyl Arginine Plus 5mg/1.25mg tablets (Servier Laboratories Ltd)	Indapamide/Perindopril arginine	02020100/02050501
56157	Perindopril tosilate 5mg / Indapamide 1.25mg tablets	0	02020100/02050501
56506	Coversyl 2mg tablets (Dowelhurst Ltd)	Perindopril erbumine	2050501
5612	Coversyl 2mg tablets (Servier Laboratories Ltd)	Perindopril erbumine	2050501
56508	Coversyl 4mg tablets (Dowelhurst Ltd)	Perindopril erbumine	2050501
5800	Coversyl 4mg tablets (Servier Laboratories Ltd)	Perindopril erbumine	2050501
14960	Coversyl 8mg tablets (Servier Laboratories Ltd)	Perindopril erbumine	2050501
50402	Perindopril 2mg Tablet (Servier Laboratories Ltd)	Perindopril erbumine	2050501
593	Perindopril erbumine 2mg tablets	Perindopril erbumine	2050501
45319	Perindopril erbumine 2mg tablets (A A H Pharmaceuticals Ltd)	Perindopril erbumine	2050501
43813	Perindopril erbumine 2mg tablets (Actavis UK Ltd)	Perindopril erbumine	2050501
59972	Perindopril erbumine 2mg tablets (Alliance Healthcare (Distribution) Ltd)	Perindopril erbumine	2050501
49491	Perindopril erbumine 2mg tablets (Consilient Health Ltd)	Perindopril erbumine	2050501
66060	Perindopril erbumine 2mg tablets (DE Pharmaceuticals)	Perindopril erbumine	2050501
58843	Perindopril erbumine 2mg tablets (Kent Pharmaceuticals Ltd)	Perindopril erbumine	2050501
48049	Perindopril erbumine 2mg tablets (Mylan Ltd)	Perindopril erbumine	2050501
56516	Perindopril erbumine 2mg tablets (Sandoz Ltd)	Perindopril erbumine	2050501
56473	Perindopril erbumine 2mg tablets (Sigma Pharmaceuticals Plc)	Perindopril erbumine	2050501
58874	Perindopril erbumine 2mg tablets (Somex Pharma)	Perindopril erbumine	2050501
54899	Perindopril erbumine 2mg tablets (Teva UK Ltd)	Perindopril erbumine	2050501
64602	Perindopril erbumine 2mg tablets (Waymade Healthcare Plc)	Perindopril erbumine	2050501
97	Perindopril erbumine 4mg tablets	Perindopril erbumine	2050501
33095	Perindopril erbumine 4mg tablets (A A H Pharmaceuticals Ltd)	Perindopril erbumine	2050501
61270	Perindopril erbumine 4mg tablets (Accord Healthcare Ltd)	Perindopril erbumine	2050501
48214	Perindopril erbumine 4mg tablets (Actavis UK Ltd)	Perindopril erbumine	2050501
38510	Perindopril erbumine 4mg tablets (Apotex UK Ltd)	Perindopril erbumine	2050501
59770	Perindopril erbumine 4mg tablets (Aurobindo Pharma Ltd)	Perindopril erbumine	2050501
56162	Perindopril erbumine 4mg tablets (Consilient Health Ltd)	Perindopril erbumine	2050501
57801	Perindopril erbumine 4mg tablets (Glenmark Pharmaceuticals Europe Ltd)	Perindopril erbumine	2050501
56472	Perindopril erbumine 4mg tablets (Kent Pharmaceuticals Ltd)	Perindopril erbumine	2050501
65273	Perindopril erbumine 4mg tablets (Mylan Ltd)	Perindopril erbumine	2050501
48180	Perindopril erbumine 4mg tablets (Sandoz Ltd)	Perindopril erbumine	2050501
60065	Perindopril erbumine 4mg tablets (Sigma Pharmaceuticals Plc)	Perindopril erbumine	2050501
38285	Perindopril erbumine 4mg tablets (Teva UK Ltd)	Perindopril erbumine	2050501
61117	Perindopril erbumine 4mg/5ml oral solution	0	2050501
11983	Perindopril erbumine 4mg/5ml oral suspension	Perindopril erbumine	2050501
6078	Perindopril erbumine 8mg tablets	Perindopril erbumine	2050501
35731	Perindopril erbumine 8mg tablets (A A H Pharmaceuticals Ltd)	Perindopril erbumine	2050501
59790	Perindopril erbumine 8mg tablets (Accord Healthcare Ltd)	Perindopril erbumine	2050501
57701	Perindopril erbumine 8mg tablets (Actavis UK Ltd)	Perindopril erbumine	2050501
61693	Perindopril erbumine 8mg tablets (Aurobindo Pharma Ltd)	Perindopril erbumine	2050501
54733	Perindopril erbumine 8mg tablets (Consilient Health Ltd)	Perindopril erbumine	2050501
54942	Perindopril erbumine 8mg tablets (Mylan Ltd)	Perindopril erbumine	2050501
53058	Perindopril erbumine 8mg tablets (Sandoz Ltd)	Perindopril erbumine	2050501
45938	Perindopril erbumine 8mg tablets (Teva UK Ltd)	Perindopril erbumine	2050501
54986	Perindopril erbumine 8mg/5ml oral suspension	0	2050501
43012	Perindopril erbumine oral solution	Perindopril Erbumine	2050501
2927	PERINDOPRIL/TERT-BUTYLAMINE 2 MG TAB	0	0
50607	Perindopril arginine 2mg with Indapamide 625 micrograms tablet	Perindopril Erbumine/Indapamide	02020100/02050501
48098	Perindopril arginine 4mg with Indapamide 1.25mg tablet	Perindopril Erbumine/Indapamide	02020100/02050501
63594	Generic Tritace titration pack tablets	0	2050501
56079	Perindopril tosilate 10mg tablets	0	2050501
57333	Perindopril tosilate 5mg tablets	Perindopril tosilate	2050501
14477	Accupro 10mg tablets (Pfizer Ltd)	Quinapril hydrochloride	2050501
14478	Accupro 20mg tablets (Pfizer Ltd)	Quinapril hydrochloride	2050501
15096	Accupro 40mg tablets (Pfizer Ltd)	Quinapril hydrochloride	2050501
7314	Accupro 5mg tablets (Pfizer Ltd)	Quinapril hydrochloride	2050501
3929	Quinapril 10mg tablets	Quinapril hydrochloride	2050501
5159	Quinapril 20mg tablets	Quinapril hydrochloride	2050501
38854	Quinapril 20mg/5ml oral solution	Quinapril Hydrochloride	2050501
9731	Quinapril 40mg tablets	Quinapril hydrochloride	2050501
61292	Quinapril 40mg tablets (Mylan Ltd)	Quinapril hydrochloride	2050501
6765	Quinapril 5mg tablets	Quinapril hydrochloride	2050501
38899	Quinil 10mg tablets (Tillomed Laboratories Ltd)	Quinapril hydrochloride	2050501
46365	Quinil 20mg tablets (Tillomed Laboratories Ltd)	Quinapril hydrochloride	2050501
42285	Quinil 40mg tablets (Tillomed Laboratories Ltd)	Quinapril hydrochloride	2050501
40355	Quinil 5mg tablets (Tillomed Laboratories Ltd)	Quinapril hydrochloride	2050501
64062	Enalapril 1mg/5ml oral suspension	0	2050501
32934	Lopace 10mg capsules (Discovery Pharmaceuticals)	Ramipril	2050501
29627	Lopace 2.5mg capsules (Discovery Pharmaceuticals)	Ramipril	2050501
28586	Lopace 5mg capsules (Discovery Pharmaceuticals)	Ramipril	2050501
22882	RAMIPRIL	0	0
147	Ramipril 1.25mg capsules	Ramipril	2050501
55299	Ramipril 1.25mg capsules (A A H Pharmaceuticals Ltd)	Ramipril	2050501
45264	Ramipril 1.25mg capsules (Actavis UK Ltd)	Ramipril	2050501
56704	Ramipril 1.25mg capsules (Alliance Healthcare (Distribution) Ltd)	Ramipril	2050501
52399	Ramipril 1.25mg capsules (Kent Pharmaceuticals Ltd)	Ramipril	2050501
32857	Ramipril 1.25mg capsules (Teva UK Ltd)	Ramipril	2050501
57073	Ramipril 1.25mg capsules (Waymade Healthcare Plc)	Ramipril	2050501
34698	Ramipril 1.25mg capsules (Zentiva)	Ramipril	2050501
65443	Ramipril 1.25mg Tablet (Sovereign Medical Ltd)	Ramipril	2050501
761	Ramipril 1.25mg tablets	Ramipril	2050501
57658	Ramipril 1.25mg tablets (A A H Pharmaceuticals Ltd)	Ramipril	2050501
56148	Ramipril 1.25mg tablets (Kent Pharmaceuticals Ltd)	Ramipril	2050501
57235	Ramipril 1.25mg tablets (Sandoz Ltd)	Ramipril	2050501
61985	Ramipril 1.25mg tablets (Teva UK Ltd)	Ramipril	2050501
62039	Ramipril 1.25mg tablets (Zentiva)	Ramipril	2050501
45340	Ramipril 10mg Capsule (Actavis UK Ltd)	Ramipril	2050501
34583	Ramipril 10mg Capsule (Dexcel-Pharma Ltd)	Ramipril	2050501
34893	Ramipril 10mg Capsule (IVAX Pharmaceuticals UK Ltd)	Ramipril	2050501
34877	Ramipril 10mg Capsule (Sovereign Medical Ltd)	Ramipril	2050501
82	Ramipril 10mg capsules	Ramipril	2050501
34943	Ramipril 10mg capsules (A A H Pharmaceuticals Ltd)	Ramipril	2050501
49164	Ramipril 10mg capsules (Actavis UK Ltd)	Ramipril	2050501
56356	Ramipril 10mg capsules (Alliance Healthcare (Distribution) Ltd)	Ramipril	2050501
61339	Ramipril 10mg capsules (Almus Pharmaceuticals Ltd)	Ramipril	2050501
56169	Ramipril 10mg capsules (Arrow Generics Ltd)	Ramipril	2050501
59788	Ramipril 10mg capsules (Bristol Laboratories Ltd)	Ramipril	2050501
66669	Ramipril 10mg capsules (DE Pharmaceuticals)	Ramipril	2050501
34357	Ramipril 10mg capsules (Genus Pharmaceuticals Ltd)	Ramipril	2050501
52407	Ramipril 10mg capsules (Kent Pharmaceuticals Ltd)	Ramipril	2050501
34651	Ramipril 10mg capsules (Mylan Ltd)	Ramipril	2050501
56763	Ramipril 10mg capsules (Phoenix Healthcare Distribution Ltd)	Ramipril	2050501
34710	Ramipril 10mg capsules (Sandoz Ltd)	Ramipril	2050501
56855	Ramipril 10mg capsules (Sigma Pharmaceuticals Plc)	Ramipril	2050501
33894	Ramipril 10mg capsules (Teva UK Ltd)	Ramipril	2050501
57346	Ramipril 10mg capsules (Waymade Healthcare Plc)	Ramipril	2050501
34657	Ramipril 10mg capsules (Zentiva)	Ramipril	2050501
756	Ramipril 10mg tablets	Ramipril	2050501
40384	Ramipril 10mg tablets (A A H Pharmaceuticals Ltd)	Ramipril	2050501
53612	Ramipril 10mg tablets (Alliance Healthcare (Distribution) Ltd)	Ramipril	2050501
56038	Ramipril 10mg tablets (Pfizer Ltd)	Ramipril	2050501
63010	Ramipril 10mg tablets (Phoenix Healthcare Distribution Ltd)	Ramipril	2050501
66162	Ramipril 10mg tablets (Teva UK Ltd)	Ramipril	2050501
50509	Ramipril 10mg/5ml oral solution	Ramipril	2050501
35007	Ramipril 10mg/5ml oral suspension	Ramipril	2050501
654	Ramipril 2.5/5mg/10mg capsule	Ramipril	2050501
38308	Ramipril 2.5/5mg/10mg tablet	Ramipril	2050501
34732	Ramipril 2.5mg Capsule (Dexcel-Pharma Ltd)	Ramipril	2050501
709	Ramipril 2.5mg capsules	Ramipril	2050501
34528	Ramipril 2.5mg capsules (A A H Pharmaceuticals Ltd)	Ramipril	2050501
47998	Ramipril 2.5mg capsules (Actavis UK Ltd)	Ramipril	2050501
51714	Ramipril 2.5mg capsules (Alliance Healthcare (Distribution) Ltd)	Ramipril	2050501
48053	Ramipril 2.5mg capsules (Almus Pharmaceuticals Ltd)	Ramipril	2050501
54298	Ramipril 2.5mg capsules (Arrow Generics Ltd)	Ramipril	2050501
53621	Ramipril 2.5mg capsules (Bristol Laboratories Ltd)	Ramipril	2050501
34432	Ramipril 2.5mg capsules (Genus Pharmaceuticals Ltd)	Ramipril	2050501
59557	Ramipril 2.5mg capsules (Kent Pharmaceuticals Ltd)	Ramipril	2050501
34567	Ramipril 2.5mg capsules (Mylan Ltd)	Ramipril	2050501
59603	Ramipril 2.5mg capsules (Phoenix Healthcare Distribution Ltd)	Ramipril	2050501
33811	Ramipril 2.5mg capsules (Ranbaxy (UK) Ltd)	Ramipril	2050501
34505	Ramipril 2.5mg capsules (Sandoz Ltd)	Ramipril	2050501
54620	Ramipril 2.5mg capsules (Sigma Pharmaceuticals Plc)	Ramipril	2050501
34490	Ramipril 2.5mg capsules (Teva UK Ltd)	Ramipril	2050501
56013	Ramipril 2.5mg capsules (Waymade Healthcare Plc)	Ramipril	2050501
34431	Ramipril 2.5mg capsules (Zentiva)	Ramipril	2050501
6314	Ramipril 2.5mg tablets	Ramipril	2050501
61499	Ramipril 2.5mg tablets (Actavis UK Ltd)	Ramipril	2050501
63442	Ramipril 2.5mg tablets (Teva UK Ltd)	Ramipril	2050501
62918	Ramipril 2.5mg/5ml oral solution	Ramipril	2050501
47021	Ramipril 2.5mg/5ml oral solution sugar free	Ramipril	2050501
64055	Ramipril 2.5mg/5ml oral solution sugar free (Waymade Healthcare Plc)	Ramipril	2050501
11937	Ramipril 2.5mg/5ml oral suspension	Ramipril	2050501
34589	Ramipril 5mg Capsule (Dexcel-Pharma Ltd)	Ramipril	2050501
34652	Ramipril 5mg Capsule (Sovereign Medical Ltd)	Ramipril	2050501
80	Ramipril 5mg capsules	Ramipril	2050501
34540	Ramipril 5mg capsules (A A H Pharmaceuticals Ltd)	Ramipril	2050501
48008	Ramipril 5mg capsules (Actavis UK Ltd)	Ramipril	2050501
54941	Ramipril 5mg capsules (Alliance Healthcare (Distribution) Ltd)	Ramipril	2050501
61067	Ramipril 5mg capsules (Almus Pharmaceuticals Ltd)	Ramipril	2050501
51701	Ramipril 5mg capsules (Bristol Laboratories Ltd)	Ramipril	2050501
65936	Ramipril 5mg capsules (DE Pharmaceuticals)	Ramipril	2050501
65749	Ramipril 5mg capsules (Ennogen Pharma Ltd)	Ramipril	2050501
34390	Ramipril 5mg capsules (Genus Pharmaceuticals Ltd)	Ramipril	2050501
56129	Ramipril 5mg capsules (Kent Pharmaceuticals Ltd)	Ramipril	2050501
34429	Ramipril 5mg capsules (Mylan Ltd)	Ramipril	2050501
60730	Ramipril 5mg capsules (Phoenix Healthcare Distribution Ltd)	Ramipril	2050501
34539	Ramipril 5mg capsules (Sandoz Ltd)	Ramipril	2050501
52197	Ramipril 5mg capsules (Sigma Pharmaceuticals Plc)	Ramipril	2050501
34412	Ramipril 5mg capsules (Teva UK Ltd)	Ramipril	2050501
55798	Ramipril 5mg capsules (Waymade Healthcare Plc)	Ramipril	2050501
34382	Ramipril 5mg capsules (Zentiva)	Ramipril	2050501
6288	Ramipril 5mg tablets	Ramipril	2050501
65599	Ramipril 5mg tablets (A A H Pharmaceuticals Ltd)	Ramipril	2050501
57864	Ramipril 5mg tablets (Sigma Pharmaceuticals Plc)	Ramipril	2050501
62958	Ramipril 5mg tablets (Teva UK Ltd)	Ramipril	2050501
62036	Ramipril 5mg tablets (Waymade Healthcare Plc)	Ramipril	2050501
61694	Ramipril 5mg tablets (Zentiva)	Ramipril	2050501
45554	Ramipril 5mg/5ml oral solution	Ramipril	2050501
46890	Ramipril 5mg/5ml oral suspension	Ramipril	2050501
66329	Ramipril oral solution	Ramipril	2050501
31288	TRITACE	0	0
24214	TRITACE 1.25 MG TAB	0	0
9646	Tritace 1.25mg capsules (Aventis Pharma)	Ramipril	2050501
42081	Tritace 1.25mg Tablet (Sterwin Medicines)	Ramipril	2050501
6261	Tritace 1.25mg tablets (Sanofi)	Ramipril	2050501
9693	Tritace 10mg capsules (Sanofi)	Ramipril	2050501
39355	Tritace 10mg Tablet (Sterwin Medicines)	Ramipril	2050501
9915	Tritace 10mg tablets (Sanofi)	Ramipril	2050501
29964	TRITACE 2.5 MG TAB	0	0
5275	Tritace 2.5mg capsules (Sanofi)	Ramipril	2050501
6364	Tritace 2.5mg tablets (Sanofi)	Ramipril	2050501
5735	Tritace 5mg capsules (Sanofi)	Ramipril	2050501
6362	Tritace 5mg tablets (Sanofi)	Ramipril	2050501
6200	Tritace titration pack capsules (Sanofi)	0	0
39421	Tritace titration pack tablets (Sanofi)	0	2050501
17686	Micardis 20mg tablets (Boehringer Ingelheim Ltd)	Telmisartan	2050502
13821	Micardis 40mg tablets (Boehringer Ingelheim Ltd)	Telmisartan	2050502
17545	Micardis 80mg tablets (Boehringer Ingelheim Ltd)	Telmisartan	2050502
6243	Telmisartan 20mg tablets	Telmisartan	2050502
61177	Telmisartan 20mg tablets (Sigma Pharmaceuticals Plc)	Telmisartan	2050502
5988	Telmisartan 40mg tablets	Telmisartan	2050502
65274	Telmisartan 40mg tablets (Actavis UK Ltd)	Telmisartan	2050502
